0,1,2,3
-2.302585,0.0,1.900614,0.003
-2.207275,0.0,1.593309,0.004
-2.120264,0.0,1.316408,0.005
-2.040221,0.0,1.064711,0.007
-1.966113,0.0,0.832909,0.009
-1.89712,0.0,0.609766,0.01
-1.832581,0.0,0.48858,0.01
-1.771957,0.0,0.262364,0.02
-1.714798,0.0,0.10436,0.02
-1.660731,0.0,-0.072571,0.02
-1.609438,0.0,-0.248461,0.03
-1.386294,0.0,-0.891598,0.05
